symbol,open,high,low,close,volume,rsi_14
9432,1549.0,1579.98,1518.02,1549.0,380766,50.8
7974,5678.0,5791.56,5564.44,5678.0,830184,59.1
6861,1997.0,2036.94,1957.06,1997.0,128063,30.8
6367,2587.0,2638.7400000000002,2535.2599999999998,2587.0,92979,31.6
6098,8007.0,8167.14,7846.86,8007.0,13799,60.0
6954,9908.0,10106.16,9709.84,9908.0,319060,38.9
4503,5533.0,5643.66,5422.34,5533.0,764077,69.4
4502,3682.0,3755.64,3608.36,3682.0,953046,66.1
7751,5602.0,5714.04,5489.96,5602.0,880685,44.5
6702,2903.0,2961.06,2844.94,2903.0,51330,51.1
6501,9304.0,9490.08,9117.92,9304.0,538063,61.6
7267,7142.0,7284.84,6999.16,7142.0,135794,32.5
8316,4691.0,4784.82,4597.18,4691.0,496618,35.0
8306,5874.0,5991.4800000000005,5756.5199999999995,5874.0,486073,53.7
9101,2576.0,2627.52,2524.48,2576.0,331014,59.5
5401,1201.0,1225.02,1176.98,1201.0,157697,63.6
8035,2801.0,2857.02,2744.98,2801.0,193309,46.9
6758,3152.0,3215.04,3088.96,3152.0,270277,54.7
9984,4014.0,4094.28,3933.72,4014.0,844100,58.3
7203,1905.0,1943.1000000000001,1866.8999999999999,1905.0,471409,48.5
